source,target,mag
2169669433.0,2169669433.0,35.0
2169669433.0,2213385597.0,5.0
2169669433.0,2112772285.0,13.0
2169669433.0,2122438261.0,5.0
2077736714.0,2169669433.0,19.0
2127616844.0,2169669433.0,1.0
1834339306.0,2169669433.0,14.0
2195221789.0,2169669433.0,1.0
2106824575.0,2169669433.0,1.0
2112772285.0,2169669433.0,7.0
2169669433.0,2077736714.0,16.0
2169669433.0,2127616844.0,6.0
2169669433.0,1834339306.0,9.0
2169669433.0,2195221789.0,4.0
2169669433.0,2106824575.0,9.0
2077736714.0,2077736714.0,13.0
2077736714.0,2127616844.0,4.0
2077736714.0,1834339306.0,7.0
2077736714.0,2195221789.0,2.0
2077736714.0,2106824575.0,6.0
1834339306.0,2077736714.0,9.0
1834339306.0,2127616844.0,4.0
1834339306.0,1834339306.0,7.0
1834339306.0,2195221789.0,2.0
1834339306.0,2106824575.0,4.0
2112772285.0,2077736714.0,3.0
2112772285.0,2127616844.0,1.0
2112772285.0,1834339306.0,1.0
2112772285.0,2195221789.0,1.0
2112772285.0,2106824575.0,4.0
2169669433.0,1765929309.0,3.0
2169669433.0,2307196916.0,3.0
2169669433.0,1984613836.0,3.0
2077736714.0,1765929309.0,2.0
2077736714.0,2307196916.0,2.0
2077736714.0,1984613836.0,2.0
1834339306.0,1765929309.0,1.0
1834339306.0,2307196916.0,1.0
1834339306.0,1984613836.0,1.0
2112772285.0,1765929309.0,2.0
2112772285.0,2307196916.0,2.0
2112772285.0,1984613836.0,2.0
2169669433.0,2893803229.0,4.0
2077736714.0,2893803229.0,3.0
1834339306.0,2893803229.0,2.0
2112772285.0,2893803229.0,1.0
2169669433.0,2126899833.0,6.0
2169669433.0,1970773585.0,6.0
2077736714.0,2126899833.0,3.0
2077736714.0,1970773585.0,3.0
2077736714.0,2112772285.0,6.0
1834339306.0,2126899833.0,2.0
1834339306.0,1970773585.0,2.0
1834339306.0,2112772285.0,5.0
2112772285.0,2126899833.0,2.0
2112772285.0,1970773585.0,2.0
2112772285.0,2112772285.0,3.0
2077736714.0,2692190370.0,2.0
2077736714.0,2709006732.0,2.0
2077736714.0,2702723102.0,2.0
2077736714.0,2697450189.0,1.0
1834339306.0,2692190370.0,2.0
1834339306.0,2709006732.0,2.0
1834339306.0,2702723102.0,2.0
1834339306.0,2697450189.0,1.0
2127616844.0,2692190370.0,1.0
2127616844.0,2709006732.0,1.0
2127616844.0,2702723102.0,1.0
2127616844.0,2697450189.0,1.0
2550453853.0,2692190370.0,1.0
2550453853.0,2709006732.0,1.0
2550453853.0,2702723102.0,1.0
2550453853.0,2697450189.0,1.0
2077736714.0,2598286043.0,2.0
1834339306.0,2598286043.0,1.0
2127616844.0,2598286043.0,1.0
2550453853.0,2598286043.0,1.0
2892748081.0,2603818810.0,1.0
2892748081.0,5114806.0,1.0
2892748081.0,2635977953.0,1.0
2021673803.0,2603818810.0,1.0
2021673803.0,5114806.0,1.0
2021673803.0,2635977953.0,1.0
101171190.0,2603818810.0,1.0
101171190.0,5114806.0,1.0
101171190.0,2635977953.0,1.0
2169669433.0,2890138308.0,1.0
2169669433.0,2122991678.0,1.0
2169669433.0,2653001404.0,1.0
2169669433.0,1910570245.0,1.0
2169669433.0,2087314693.0,1.0
2169669433.0,1914535798.0,1.0
2169669433.0,2105245141.0,1.0
2169669433.0,2310846884.0,1.0
2169669433.0,2552152799.0,1.0
2071346827.0,2106824575.0,1.0
2071346827.0,1765929309.0,1.0
2071346827.0,2307196916.0,1.0
2071346827.0,1984613836.0,1.0
2071346827.0,2121269922.0,2.0
2071346827.0,2277217696.0,2.0
2071346827.0,2717473455.0,1.0
2071346827.0,2071346827.0,1.0
2071346827.0,2591446475.0,1.0
2071346827.0,2429882779.0,1.0
2071346827.0,2684354287.0,1.0
2071346827.0,2172112119.0,1.0
2071346827.0,2256625874.0,1.0
2469453486.0,253771894.0,2.0
2032577763.0,253771894.0,1.0
2286580088.0,253771894.0,1.0
2225881755.0,253771894.0,1.0
2101448327.0,253771894.0,1.0
2469453486.0,2708339811.0,1.0
2469453486.0,2413682747.0,1.0
2032577763.0,2708339811.0,1.0
2032577763.0,2413682747.0,1.0
2286580088.0,2708339811.0,1.0
2286580088.0,2413682747.0,1.0
2225881755.0,2708339811.0,1.0
2225881755.0,2413682747.0,1.0
2101448327.0,2708339811.0,1.0
2101448327.0,2413682747.0,1.0
2168778769.0,2692190370.0,2.0
2168778769.0,2709006732.0,2.0
2168778769.0,2702723102.0,2.0
2077539664.0,2692190370.0,2.0
2077539664.0,2709006732.0,2.0
2077539664.0,2702723102.0,2.0
2111404777.0,2692190370.0,1.0
2111404777.0,2709006732.0,1.0
2111404777.0,2702723102.0,1.0
2495952034.0,2692190370.0,1.0
2495952034.0,2709006732.0,1.0
2495952034.0,2702723102.0,1.0
2091044228.0,2692190370.0,2.0
2091044228.0,2709006732.0,2.0
2091044228.0,2702723102.0,2.0
2652057278.0,2077736714.0,1.0
2652057278.0,1834339306.0,1.0
2652057278.0,2127616844.0,1.0
2652057278.0,2550453853.0,1.0
2652057278.0,2692190370.0,2.0
2652057278.0,2709006732.0,2.0
2652057278.0,2702723102.0,2.0
2652057278.0,2697450189.0,1.0
2652057278.0,1783373794.0,1.0
2652057278.0,2165019760.0,1.0
2652057278.0,2170296248.0,1.0
1972671123.0,2071346827.0,3.0
1985797339.0,2071346827.0,1.0
2230518824.0,2071346827.0,1.0
2171453219.0,2071346827.0,1.0
1972671123.0,2106824575.0,2.0
1972671123.0,1765929309.0,2.0
1972671123.0,2307196916.0,2.0
1972671123.0,1984613836.0,2.0
1985797339.0,2106824575.0,1.0
1985797339.0,1765929309.0,1.0
1985797339.0,2307196916.0,1.0
1985797339.0,1984613836.0,1.0
2230518824.0,2106824575.0,1.0
