,name,num,citations,numpapers
0,geert verhoeven,2169669433,883,19
1,haida liang,2094774220,147,1
2,michael doneus,2077736714,608,17
3,martin fera,2127616844,253,2
4,christian briese,1834339306,477,11
5,matthias kucera,2195221789,98,1
6,wolfgang neubauer,2106824575,322,7
7,martin janner,2550453853,155,1
8,frank vermeulen,2112772285,178,4
9,sharaf alkheder,2892748081,110,1
10,yahya alshawabkeh,2021673803,110,1
11,norbert haala,101171190,110,1
12,dean goodman,2121269922,380,11
13,salvatore piro,2197783474,220,6
14,jurg leckebusch,2071346827,161,4
15,chris gaffney,2150497552,122,5
16,vince gaffney,2085043130,150,5
17,eamonn baldwin,2178446697,51,1
18,henry chapman,2159883538,51,1
19,paul garwood,1317878389,51,1
20,helen moulden,2052709406,51,1
21,tom sparrow,2151428394,51,1
22,richard bates,2292027454,51,1
23,klaus locker,2107836043,51,1
24,alois hinterleitner,2433864649,111,2
25,immo trinks,2223747502,111,2
26,erich nau,1919392508,51,1
27,thomas zitz,1192561553,51,1
28,sebastian floery,1965404890,51,1
29,sarah parcak,2469453486,68,3
30,david gathings,2032577763,22,1
31,chase childs,2286580088,22,1
32,greg mumford,2225881755,22,1
33,eric h cline,2101448327,22,1
34,arlen f chase,2168778769,128,3
35,diane z chase,2077539664,128,3
36,christopher t fisher,2111404777,105,3
37,stephen j leisz,2495952034,109,4
38,john f weishampel,2091044228,124,2
39,sarah h parcak,253771894,119,1
40,ralf hesse,2652057278,94,1
41,b j devereux,2692190370,189,2
42,g s amable,2709006732,189,2
43,p crow,2702723102,189,2
44,a d cliff,2697450189,102,1
45,neil linford,1972671123,149,5
46,paul linford,1985797339,90,2
47,louise martin,2230518824,50,1
48,andy payne,2171453219,50,1
49,fulvio rinaudo,687459025,42,1
50,filiberto chiabrando,2122991678,80,2
51,andrea maria lingua,1924943578,42,1
52,antonia teresa spano,2040988091,42,1
53,bernth johansson,2156812960,60,1
54,jaana gustafsson,2118105792,60,1
55,jesper emilsson,2012208279,60,1
56,johan gustaf friborg,2646209300,60,1
57,christer gustafsson,2143261198,60,1
58,johan nissen,2419516668,60,1
59,ziga kokalj,1988930059,68,1
60,klemen zaksek,229551928,68,1
61,kristof ostir,2151859425,124,2
62,lawrence b conyers,1392871264,169,6
63,alois ederhinterleitner,1765929309,100,2
64,sirri seren,2307196916,92,1
65,peter melichar,1984613836,92,1
66,martin sauerbier,2105245141,103,3
67,henri eisenbeiss,2087314693,103,3
68,rosa lasaponara,233151887,828,33
69,nicola masini,146908812,832,33
70,alfredo maximiano castillejo,2312988251,29,1
71,jesse casana,2133247355,134,6
72,john kantner,2717858826,36,1
73,adam wiewel,2323350189,36,1
74,jackson cothren,2154240125,108,4
75,jo loenders,2213385597,34,1
76,roald docter,2122438261,45,3
77,yasushi nishimura,2277217696,254,5
78,deodato tapete,2051837759,223,9
79,riccardo fanti,1977200140,101,2
80,r cecchi,2577607131,56,1
81,p petrangeli,1269756282,56,1
82,nicola casagli,2094403090,101,2
83,fulong chen,2122728365,80,5
84,ruixia yang,2615125436,37,3
85,pietro milillo,2078479346,24,1
86,dexian feng,2505691432,24,1
87,karsten lambers,1914535798,87,5
88,zhang li,2310846884,44,1
89,h bendea,2890138308,38,1
90,f giulio tonolo,2653001404,38,1
91,davide marenchino,1910570245,38,1
92,rebecca bennett,2123181868,69,3
93,kate welham,2289213271,87,5
94,ross a hill,2468020076,69,3
95,andrew l j ford,2310706129,73,4
96,j d rogers,2717473455,103,1
97,dimitrios alexakis,2830088056,55,1
98,apostolos sarris,2139383741,288,14
99,theodoros astaras,2894079658,55,1
100,konstantinos albanakis,2072162632,55,1
101,james wiseman,2142452866,76,1
102,farouk elbaz,1045709392,89,2
103,k themistocleous,672579825,41,4
104,athos agapiou,2102797581,376,22
105,branka cuca,958544279,15,1
106,diofantos g hadjimitsis,1987843543,340,19
107,juerg leckebusch,2608473440,50,1
108,guido luzi,2039670884,45,1
109,giovanni gigli,2134806551,45,1
110,davide leva,2127224109,45,1
111,chris roman,2145019425,48,1
112,gabrielle inglis,2170294176,48,1
113,james rutter,2489372338,48,1
114,a p annan,2678571744,119,1
115,benjamin stular,2656196460,56,1
116,iga kokalj,2307227852,56,1
117,laure nuninger,2047611814,60,2
118,adam d booth,2423311355,87,3
119,roger a clark,2467812216,47,2
120,tavi murray,2102468776,47,2
121,v de laet,2169294177,110,3
122,etienne paulissen,1907811893,110,3
123,marc waelkens,1481642178,113,4
124,adrian myers,2142395980,38,1
125,francesca cigna,1139602135,84,4
126,daniel n m donoghue,2109518512,133,5
127,kenneth l kvamme,2600466324,205,8
128,aled rowlands,2096352476,85,1
129,jon c henderson,2330015038,49,2
130,oscar pizarro,2017108474,49,2
131,matthew johnsonroberson,2033490064,49,2
132,ian mahon,2076742173,36,1
133,a t mozascalvache,2625022871,31,1
134,jose luis perezgarcia,2207373149,31,1
135,f j cardenalescarcena,2325228963,31,1
136,e matacastro,2315661309,31,1
137,j delgadogarcia,2625888111,31,1
138,enzo rizzo,2299022984,50,3
139,giuseppe orefici,1307530945,69,3
140,jesse casana,2708339811,25,1
141,mitra panahipour,2413682747,25,1
142,rudi goossens,2097165080,79,2
143,alain de wulf,2027984156,79,2
144,jean bourgeois,2267678628,117,6
145,wouter gheyle,1458861332,88,3
146,tom willems,2893750063,79,2
147,stefano campana,2892620085,42,3
148,kyriacos themistocleous,2024531300,6,2
149,keith m prufer,667224886,39,1
150,amy e thompson,2288923208,39,1
151,douglas j kennett,2684801672,39,1
152,claudio aporta,2678258285,91,1
153,eric higgs,2654464210,91,1
154,david hakken,2694088308,91,1
155,lisa palmer,2475820454,91,1
156,mark h palmer,2102680088,91,1
157,robert rundstrom,2340907120,91,1
158,bryan pfaffenberger,2711813333,91,1
159,george w wenzel,2718442709,91,1
160,thomas widlok,2811327513,91,1
161,anthony beck,2122419906,101,6
162,graham philip,2141896634,75,3
163,maamoun abdulkarim,2076396712,67,1
164,armin grun,2603818810,29,1
165,fabio remondino,5114806,57,3
166,li zhang,2635977953,29,1
167,jesus fernandezhernandez,2632198184,41,1
168,diego gonzalezaguilera,2041873084,55,3
169,pablo rodriguezgonzalvez,916236146,50,2
170,juan mancerataboada,2179086799,50,2
171,motoyuki sato,2107078328,35,4
172,clement atzberger,1679575905,45,2
173,michael wess,1983554343,45,2
174,michal rus,2304831108,32,1
175,mark altaweel,1978271887,74,1
176,mitch bryson,2127442694,13,1
177,ariell friedman,2209974912,13,1
178,giancarlo troni,676969794,13,1
179,paul ozog,229212510,13,1
180,keith challis,2076522883,183,6
181,paolo forlin,1969652887,38,1
182,mark kincey,1094293128,79,3
183,roland linck,2039579559,60,4
184,thomas busche,2095415012,26,1
185,stefan buckreuss,2081226198,26,1
186,jorg w e fassbinder,705882724,60,4
187,sirri seren,2807365348,26,1
188,oivind due trier,1783373794,72,2
189,siri oyen larsen,2165019760,50,1
190,rune solberg,2170296248,50,1
191,p sapirstein,2584050089,27,1
192,ole gron,2701104035,18,1
193,susanna palmer,2550883242,18,1
194,fransarne stylegar,2639201231,18,1
195,kim h esbensen,41247394,18,1
196,sergey kucheryavski,2527336977,18,1
197,sigurd aase,2102228346,18,1
198,eloi gattet,2436602574,8,1
199,j devogelaere,1263003283,8,1
200,romain raffin,2581367938,8,1
201,laurent bergerot,1820883957,8,1
202,marc daniel,2799102197,8,1
203,ph jockey,2899200117,8,1
204,l de luca,2251128550,8,1
205,dimitrios d alexakis,1993120014,261,13
206,s gonizzi barsanti,2333830548,14,1
207,d visintini,2678974096,14,1
208,marco j giardino,2648680260,44,1
209,nikos papadopoulos,2320419332,30,1
210,maria cristina salvi,2017240795,30,1
211,william a parkinson,2621698461,30,1
212,richard w yerkes,2074989338,30,1
213,attila gyucha,300104971,30,1
214,paul r duffy,2113314754,30,1
215,danilo gallo,2145746520,88,3
216,marcello ciminale,1965874878,112,5
217,helmut becker,2509657949,55,2
218,victor d thompson,2132998548,38,2
219,philip j arnold,2100035487,28,1
220,thomas j pluckhahn,2689218802,28,1
221,amber m vanderwarker,683208859,28,1
222,thomas g garrison,2309836674,60,2
223,stephen d houston,2579247553,60,2
224,charles golden,2158017241,53,2
225,takeshi inomata,2132977932,46,1
226,zachary nelson,2063280807,46,1
227,jessica munson,2106217231,46,1
228,nives doneus,1359921447,42,2
229,michael pregesbauer,2003373277,42,2
230,gottfried mandlburger,2000938873,42,2
231,jens wunderlich,2136254914,25,1
232,gert wendt,2660713442,25,1
233,sabine muller,2433808106,25,1
234,simon keay,2116890535,88,3
235,graeme earl,2117665592,35,1
236,sophie hay,2112930218,35,1
237,stephen kay,2167032031,35,1
238,jessica ogden,2778894466,35,1
239,kristian strutt,1979260581,53,2
240,m lo brutto,1973977791,19,1
241,a borruso,2687675924,19,1
242,a dargenio,2706403063,19,1
243,julie m gallagher,2636756810,38,1
244,richard l josephs,2039681322,38,1
245,helmut becker,2907052646,50,1
246,dominic powlesland,1301761586,35,2
247,james lyall,2460269298,35,2
248,guy hopkinson,2159822661,26,1
249,maria beck,2688805940,26,1
250,aidan harte,2616079886,26,1
251,david stott,2575879891,26,1
252,christoph siart,1969293336,61,2
253,bernhard eitel,2035329611,61,2
254,diamantis panagiotopoulos,2253124495,56,1
255,apostolos sarris,2800877418,34,1
256,a georgopoulos,2136041560,49,3
257,christopher stewart,2144575447,35,2
258,giovanni schiavon,2683429092,35,2
259,david j prior,2095830836,69,1
260,elisabetta mariani,2239943279,69,1
261,john wheeler,2112284519,69,1
262,giovanni leucci,2034046983,150,6
263,ole risbol,2430289346,45,2
264,anneli nesbakken,2333635962,45,2
265,michael j harrower,2428135238,27,1
266,peter masters,2225229069,30,2
267,birger stichelbaut,2032927348,49,3
268,jaime awe,2173167140,35,1
269,gyles iannone,2122861598,35,1
270,holley moyes,2049498015,35,1
271,jason yaeger,2042174567,35,1
272,m kathryn brown,2155875498,35,1
273,ramesh l shrestha,2658503792,51,3
274,william e carter,2305002241,83,4
