,name,num,citations,numpapers
0,archaeological prospection,180658431,3759,185
3,j archaeol sci,190270160,1927,52
4,antiquity,173880072,556,14
11,j cult herit,1016481467,432,20
10,remote sensing,43295729,377,31
27,journal of field archaeology,196948491,223,12
1,applied physics a,52123058,147,1
6,isprs international archives photogrammetry remote sensing spatial information sciences,2764939010,131,11
9,j geophys eng,35316464,131,6
14,international journal of nautical archaeology,105087119,112,6
2,geoinformatics fce ctu,2764806160,109,2
16,journal archaeological science reports,2764743818,108,12
29,forensic sci int,15336283,97,6
7,international archives photogrammetry remote sensing spatial information sciences,2737215817,91,4
17,curr anthropol,165709033,91,1
5,pnas,125754415,89,1
12,world archaeology,14980801,83,4
66,geoarchaeology,169609712,73,6
18,archaeometry,35512523,68,4
20,int j digit earth,199162493,61,4
23,int j remote sens,117411352,59,5
21,isprs annals photogrammetry remote sensing spatial information sciences,2737735205,56,7
39,j forensic sci,62072220,56,2
26,ieee j sel top appl earth obs,117727964,53,2
34,american antiquity,34864311,48,3
49,amer anthropol,102499938,48,2
43,near eastern archaeology,100189291,45,2
30,int j appl earth obs geoinf,171169652,41,3
25,ieee geosci remote sens lett,126920919,39,1
52,ancient mesoamerica,32654796,39,1
24,international journal heritage digital era,2764428698,36,4
13,remote sens environ,141808269,32,1
54,quatern int,68052730,32,2
32,j soc archaeol,184546072,30,1
8,european journal of archaeology,162341422,29,1
53,norsk geografisk tidsskrift,56020007,29,1
47,advances in geosciences,13330807,28,4
31,dendrochronologia,75371934,27,1
60,acta astronaut,179591353,27,2
36,geology today,156106415,26,1
37,naturwissenschaften,44783556,26,1
41,journal remote sensing,2764468969,26,4
15,journal eastern mediterranean archaeology heritage studies,2764665464,25,1
22,mar geophys res,82978933,25,1
75,internet archaeology,37732689,25,3
28,appl geogr,115443327,24,1
33,geophysics,106174089,24,2
61,interdisciplin sci rev,42686363,22,1
91,cambridge archaeological journal,25370165,22,1
35,international journal geomatics geosciences,2764958884,21,4
71,space policy,134585236,21,1
95,environ hist,76796937,21,1
42,ieee trans geosci remot sen,111326731,20,1
55,sensors,101949793,20,2
65,j quant spectrosc radiat,100373537,17,1
38,gisci remote sens,7804318,16,1
96,ann sci,70236976,16,1
45,restaurator,29114012,15,1
19,jfr,151299380,13,1
63,southeastern archaeology,2764531373,13,1
64,international journal of architectural computing,10544101,13,1
67,archaeological and anthropological sciences,160634688,13,2
62,ieee trans appl superconduct,119074828,12,1
50,advances archaeological practice,2764497410,11,1
68,geogr j,54255202,11,1
74,saa archaeological record,2764361678,11,2
102,technol culture,145330833,11,1
58,journal contemporary archaeology,2764467543,10,1
72,eos transactions,168828829,10,1
87,mar technol soc j,42930874,10,1
80,journal of king saud university science,163784168,9,1
59,mater res soc proc,2530005873,8,1
76,evol anthropol,172508320,8,1
84,sociol rev,181098927,8,1
57,cartogr geogr inf sci,189706386,7,1
81,contemp phys,161902083,7,1
101,behav process,128158437,7,1
40,eur j remote sens,2496917176,6,2
48,mediterranean archaeology ,154281496,6,1
69,j appl geophys,100607112,6,1
73,isprs j photogramm,173339282,6,1
88,journal geoscience education,2765076859,6,1
100,arid land res manag,81401984,6,1
70,geoheritage,166478399,5,1
83,subsurface sensing technologies and applications,151755160,5,1
92,journal of the indian society of remote sensing,63406773,5,1
46,remote sens lett,2494614724,4,1
77,acta carsologica,189689514,4,1
89,j infrared milim waves,83040158,4,1
90,archaeological research asia,2898610133,4,1
44,t gis,859791518,3,1
51,arxiv physics geo ph,2597242922,3,1
56,nir news,152818053,3,1
78,polar rec,118957039,3,1
79,geoinformatica,104274287,3,1
82,studies in conservation,12492028,3,1
85,ifac papersonline,2898405271,3,1
86,journal aeronautics space technologies,2764645128,3,1
93,applied geomatics,159647955,3,1
94,geojournal tourism geosites,2764858393,3,1
97,lithic technology,2764680422,3,1
98,open archaeology,2736767678,3,1
99,iranica antiqua,138946030,3,1
