id,ti,cc,aanames,aanums
2011551841,taking computer vision aloft archaeological three dimensional reconstructions from aerial photographs with photoscan,210,['geert verhoeven'],['2169669433']
2042436931,advances in multispectral and hyperspectral imaging for archaeology and art conservation,147,['haida liang'],['2094774220']
1978602984,from deposit to point cloud a study of low cost computer vision approaches for the straightforward documentation of archaeological excavations,98,"['michael doneus', 'geert verhoeven', 'martin fera', 'christian briese', 'matthias kucera', 'wolfgang neubauer']","['2077736714', '2169669433', '2127616844', '1834339306', '2195221789', '2106824575']"
2083281122,archaeological prospection of forested areas using full waveform airborne laser scanning,155,"['michael doneus', 'christian briese', 'martin fera', 'martin janner']","['2077736714', '1834339306', '2127616844', '2550453853']"
2010502171,mapping by matching a computer vision based approach to fast and accurate georeferencing of archaeological aerial photographs,118,"['geert verhoeven', 'geert verhoeven', 'michael doneus', 'christian briese', 'frank vermeulen']","['2169669433', '2169669433', '2077736714', '1834339306', '2112772285']"
2047834271,developing a documentation system for desert palaces in jordan using 3d laser scanning and digital photogrammetry,110,"['sharaf alkheder', 'yahya alshawabkeh', 'norbert haala']","['2892748081', '2021673803', '101171190']"
40619706,gpr remote sensing in archaeology,73,"['dean goodman', 'salvatore piro']","['2121269922', '2197783474']"
1998327661,providing an archaeological bird s eye view an overall picture of ground based means to execute low altitude aerial photography laap in archaeology,87,['geert verhoeven'],['2169669433']
2164345547,ground penetrating radar a modern three dimensional prospection method,131,['jurg leckebusch'],['2071346827']
1932825008,the stonehenge hidden landscapes project,51,"['chris gaffney', 'vince gaffney', 'wolfgang neubauer', 'eamonn baldwin', 'henry chapman', 'paul garwood', 'helen moulden', 'tom sparrow', 'richard bates', 'klaus locker', 'alois hinterleitner', 'immo trinks', 'erich nau', 'thomas zitz', 'sebastian floery', 'geert verhoeven', 'michael doneus']","['2150497552', '2085043130', '2106824575', '2178446697', '2159883538', '1317878389', '2052709406', '2151428394', '2292027454', '2107836043', '2433864649', '2223747502', '1919392508', '1192561553', '1965404890', '2169669433', '2077736714']"
2287166047,satellite evidence of archaeological site looting in egypt 2002 2013,22,"['sarah parcak', 'david gathings', 'chase childs', 'greg mumford', 'eric h cline']","['2469453486', '2032577763', '2286580088', '2225881755', '2101448327']"
2074471048,geospatial revolution and remote sensing lidar in mesoamerican archaeology,89,"['arlen f chase', 'diane z chase', 'christopher t fisher', 'stephen j leisz', 'john f weishampel']","['2168778769', '2077539664', '2111404777', '2495952034', '2091044228']"
1504183433,satellite remote sensing for archaeology,119,['sarah h parcak'],['253771894']
2091460873,lidar derived local relief models a new tool for archaeological prospection,94,['ralf hesse'],['2652057278']
2202777762,the potential of airborne lidar for detection of archaeological features under woodland canopies,102,"['b j devereux', 'g s amable', 'p crow', 'a d cliff']","['2692190370', '2709006732', '2702723102', '2697450189']"
