title,author,url,year,num_citations,num_versions,cluster_id,url_pdf,url_citations,url_versions,url_citation,excerpt
A Roman massacre in the far north: Caesar's annihilation of the Tencteri and Usipetes in the Dutch river area,N Roymans ,http://scholar.google.com/https://www.taylorfrancis.com/books/e/9781351384667/chapters/10.4324%2F9781315144771-15,2017,1,0,1.32E+19,None,"http://scholar.google.com/scholar?cites=13238507440539017990&as_sdt=2005&sciodt=0,5&hl=en",None,None,"168 Nico Roymans often extremely high and his descriptions of mass violence are often pitiless and explicit, making his actions appear excessively cruel and unethical by modern standards. Consequently, these instances have been interpreted in modern literature as …
"
Ahvola 1918: archaeological reconnaissance of a Finnish civil war battlefield,"O Seitsonen, L Kunnas ",http://scholar.google.com/https://www.tandfonline.com/doi/abs/10.1163/157407709X12634580640254,2009,12,2,1.16E+19,None,"http://scholar.google.com/scholar?cites=11615864899445794618&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=11615864899445794618&hl=en&as_sdt=0,5",None,"Abstract The Finnish Civil War (1918) has received very little attention from the archaeologists until recently. This paper describes the first archaeological investigation of a Civil War battlefield in the Karelian Isthmus, nowadays northwest Russia. The battlefield of …
"
"Archaeo-ethnography, auto-archaeology: Introducing archaeologies of the contemporary past","R Harrison, J Schofield ",http://scholar.google.com/https://link.springer.com/article/10.1007/s11759-009-9100-5,2009,72,9,8.49E+18,None,"http://scholar.google.com/scholar?cites=8487087358777603399&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=8487087358777603399&hl=en&as_sdt=0,5",None,"After significant research effort and publications over the course of a decade,a new generation of writings and research into archaeologies of thecontemporary past is beginning to emerge, with a...
"
"Archaeological perspectives on the siege of Numantia: The new fieldwork project at the Roman camps at Renieblas (Spain, 2nd–1st centuries BC)","A JimÉnez, JÚ Bermejo, R Liceras, F Moreno… ",http://scholar.google.com/https://www.taylorfrancis.com/books/e/9781351384667/chapters/10.4324%2F9781315144771-11,2017,0,0,None,None,None,None,None,"Up to the 1990s studies into the early expansion of Rome outside the Italian Peninsula often focused on ancient textual narratives that present colonialism as a largely positive process that led to the 'civilisation'of conquered peoples. Archaeological analyses of new provinces …
"
Beyond the dead horizon: Studies in modern conflict archaeology,NJ Saunders ,None,2012,23,0,2.33E+18,None,"http://scholar.google.com/scholar?cites=2331309988609488661&as_sdt=2005&sciodt=0,5&hl=en",None,None,"None'
"
Cimbri and Teutones against Rome: First research results concerning the battle of Arausio (105 BC),"A Deyber, T LuginbÜhl ",http://scholar.google.com/https://www.taylorfrancis.com/books/e/9781351384667/chapters/10.4324%2F9781315144771-14,2017,0,0,None,None,None,None,None,"The population movements known as the 'The Cim-brian and Teutonic migrations' are relatively well documented by ancient sources 1 and appear to have begun around 120 BC. A large group of a Germano-Celtic tribe, the Cimbri, abandoned their home territory in …
"
COMMUNITY CENTERED PRAXIS IN CONFLICT ARCHAEOLOGY,E González,http://www.saa.org/Portals/0/SAA/Publications/thesaaarchrec/Sept2010_P3.PDF#page=48,2010,7,6,9.33E+18,None,"http://scholar.google.com/scholar?cites=9328386100687591153&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=9328386100687591153&hl=en&as_sdt=0,5",None,"47 September 2010• The SAA Archaeological Record ing black political participation, economic advancement, and social progress in the nineteenth and twentieth centuries. Some of the worst took place between 1917 and 1923. This included the Red Summer of …
"
Conflict,G Moshenska ,http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199602001.001.0001/oxfordhb-9780199602001-e-015,2013,9,2,3.06E+18,None,"http://scholar.google.com/scholar?cites=3056675801033857104&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=3056675801033857104&hl=en&as_sdt=0,5",None,"… This chapter provides an overview of the development, key themes, and significanceof twentieth-century conflict archaeology. Alongside a series of case studies that reflectthe global scope and diversity of the subject, the chapter … 
"
Conflict and violence in the Neolithic of Central-Northern Europe,L Fibiger ,http://scholar.google.com/https://content.taylorfrancis.com/books/e/download?dac=C2017-0-55451-4&isbn=9781315144771&doi=10.4324/9781315144771-2&format=pdf,2017,0,2,None,None,None,"http://scholar.google.com/scholar?cluster=4378446111520350455&hl=en&as_sdt=0,5",None,"The Neolithic is a time of extensive economic and closely connected demographic, social and technological changes (Bickle and Whittle, 2013; Price, 1995; Whittle, 1996). These changes laid the foundations for developments in successive periods, such as the …
"
Contested pasts and community archaeologies: Public engagement in the archaeology of modern conflict,G Moshenska,http://www.academia.edu/download/34337890/europes-deadly-century.pdf#page=84,2009,10,2,1.15E+19,None,"http://scholar.google.com/scholar?cites=11517527952654662621&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=11517527952654662621&hl=en&as_sdt=0,5",None,"\xe2\x80\xa6 We have come to understand both the academic value of having the public involved in modernconflict archaeology, and the social significance of such projects. The power of this relationshipmoves beyond the basics of education, outreach and public archaeology\xe2\x80\xa6 '
"
Contexts for conflict: Conceptual tools for interpreting archaeological reflections of warfare,"P Bleed, DD Scott ",http://scholar.google.com/https://www.tandfonline.com/doi/abs/10.1179/157407811X12958860458497,2011,27,3,1.01E+19,None,"http://scholar.google.com/scholar?cites=10124379482238717587&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=10124379482238717587&hl=en&as_sdt=0,5",None,"There has been a long history of interest in the material remains of conflict, but in the last two and a half decades archaeologists have made strides in the study of war and warfare. Techniques have been developed, refined, and borrowed to expose the material record of …
"
Die by the sword… or the spear?: Early bronze weapons in Scandinavia,C Horn ,http://scholar.google.com/https://www.taylorfrancis.com/books/e/9781351384667/chapters/10.4324%2F9781315144771-5,2017,0,2,None,None,None,"http://scholar.google.com/scholar?cluster=16109705509338785973&hl=en&as_sdt=0,5",None,"The use-wear of a sample of 154 spearheads and fifty swords has been analysed. All of the artefacts date to Period I of the Early Bronze Age after Montelius between 1700–1500 bc (Vandkilde, 1996). The methodological problems with use-wear analysis will not be …
"
Digging Deeper: Recent Publications on First World War Archaeology,JL Novotny ,http://scholar.google.com/https://www.tandfonline.com/doi/pdf/10.1163/157407709X12634580640650,2009,5,0,9.23E+18,None,"http://scholar.google.com/scholar?cites=9233834569522752035&as_sdt=2005&sciodt=0,5&hl=en",None,None,"It is also hoped that as the reader follows our trowels and tribulations across the Western Front, that journey is undertaken in the same spirit as the excavations themselves, as an act of remembrance and a (sometimes rather sweaty and physical) tribute to the lives of the men …
"
Digging Franco's trenches: an archaeological investigation of a Nationalist position from the Spanish Civil War,A González,http://scholar.google.com/https://www.tandfonline.com/doi/abs/10.1179/157407811X13027741134102,2011,15,3,1.52E+19,None,"http://scholar.google.com/scholar?cites=15174341189940258131&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=15174341189940258131&hl=en&as_sdt=0,5",None,"As part of a project on the archaeology of the civil war and dictatorship in Spain, a Nationalist position was excavated in the village of Abánades (Guadalajara), which was occupied between March 1937 and the end of the war. The sector that was excavated …
"
Editorial,"C McDavid, S Thomas ",http://scholar.google.com/https://www.tandfonline.com/doi/full/10.1080/20518196.2016.1136182,2016,46,5,2.15E+18,None,"http://scholar.google.com/scholar?cites=2150042019853830358&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=2150042019853830358&hl=en&as_sdt=0,5",None,"… In the fourth paper of this issue, Jobbe Wijnen, Ivar Schute and Ruurd Kok discuss not only aparticular case study site (the battle site of Grebbeberg Mount), but also contextualize this againstthe backdrop of the continued development of 'conflict archaeology' – particularly of … 
"
Ethics and ethical critique in the archaeology of modern conflict,G Moshenska ,http://scholar.google.com/https://www.tandfonline.com/doi/abs/10.1080/00293650802522662,2008,48,5,1.80E+19,None,"http://scholar.google.com/scholar?cites=18020084562238942202&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=18020084562238942202&hl=en&as_sdt=0,5",None,"Page 1. Ethics and Ethical Critique in the Archaeology of Modern Conflict GABRIELMOSHENSKA … In light of these issues I argue here for a lively and dynamic ethicaldebate within the discipline of modern conflict archaeology … 
"
"Ethics, archaeology, and civil conflict: the case of Spain",A González,http://scholar.google.com/https://link.springer.com/chapter/10.1007/978-1-4939-1643-6_7,2015,22,8,7.70E+18,None,"http://scholar.google.com/scholar?cites=7704018680270684560&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=7704018680270684560&hl=en&as_sdt=0,5",None,"… Concentration camp Grassroots associations. Download fulltext PDF. Introduction. Ifdoing conflict archaeology always entails difficult ethical situations (Moshenska 2008),this is the more so in the case of civil wars. One of the reasons … 
"
Excavations at Bishop's Street Without: 17th century conflict archaeology in Derry City,"P Logue, J O'Neill ",http://scholar.google.com/https://www.tandfonline.com/doi/abs/10.1163/157407706778942240,2006,5,2,1.00E+19,None,"http://scholar.google.com/scholar?cites=10014097783390635180&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=10014097783390635180&hl=en&as_sdt=0,5",None,"Excavations on this site, undertaken by Paul Logue for EHS: Built Heritage DOE: NI, produced evidence for at least two phases of occupation outside Bishop's Gate, Londonderry during the 17th century. This occupation came to an end with a phase of …
"
"Fire on the desert: conflict archaeology and the Great Arab Revolt in Jordan, 1916","NJ Saunders, N Faulkner",http://scholar.google.com/https://www.cambridge.org/core/journals/antiquity/article/fire-on-the-desert-conflict-archaeology-and-the-great-arab-revolt-in-jordan-191618/81E24D10850E467ACDFB614F143E9D19,2010,17,7,2.52E+18,None,"http://scholar.google.com/scholar?cites=2521305205475265429&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=2521305205475265429&hl=en&as_sdt=0,5",None,"Archaeologists specialising in twentieth-century conflict here turn their attention from the trenches of Europe to the desert landscape of the Arabian theatre. The thrust and parry between the Ottoman Army and Lawrence's Arabian forces are reflected in defence-works\xe2\x80\xa6""
"
From the battlefield to the labour camp: archaeology of civil war and dictatorship in Spain,A González,http://scholar.google.com/https://www.cambridge.org/core/journals/antiquity/article/from-the-battlefield-to-the-labour-camp-archaeology-of-civil-war-and-dictatorship-in-spain/A8701E55F650EF0908F5D95FAB4971FC,2012,43,10,1.23E+19,None,"http://scholar.google.com/scholar?cites=12293989341996083347&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=12293989341996083347&hl=en&as_sdt=0,5",None,"… London: Collins. DEMUTH, V. 2009. 'Those who survived the battlefields'. Archaeologicalinvestigations in a prisoner of war camp near Quedlinburg (Harz/Germany) from the First WorldWar. Journal of Conflict Archaeology 5: 163–81 … Journal of Conflict Archaeology 6: 96–122 … 
"
Geomorphological traces of conflict in high-resolution elevation models,R Hesse ,http://scholar.google.com/https://www.sciencedirect.com/science/article/pii/S0143622813002439,2014,30,4,1.14E+19,None,"http://scholar.google.com/scholar?cites=11432835486964703235&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=11432835486964703235&hl=en&as_sdt=0,5",None,"… Conflict archaeology and conflict geomorphology, which are both youngsub-disciplines within their scientific fields, have until now only touched upon a smallpart of the wide range of issues which they can encompass. While … 
"
Hate and War: The Column of Marcus Aurelius,IM Ferris ,None,2009,17,0,9.93E+18,None,"http://scholar.google.com/scholar?cites=9930170102295466269&as_sdt=2005&sciodt=0,5&hl=en",None,None,"None
"
Holocaust archaeology: Archaeological approaches to landscapes of Nazi genocide and persecution,C Sturdy Colls ,http://scholar.google.com/https://www.tandfonline.com/doi/abs/10.1179/1574077312Z.0000000005,2012,60,5,5.71E+18,None,"http://scholar.google.com/scholar?cites=5709855632465836000&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=5709855632465836000&hl=en&as_sdt=0,5",None,"Debate concerning the events of the Holocaust is well embedded in the historical discourse and, thus, clearly defined narratives of this period exist. However, in most European countries the Holocaust has only recently begun to be considered in terms of its surviving …
"
Introduction,"P Cornish, NJ Saunders ",http://scholar.google.com/https://www.taylorfrancis.com/books/e/9781317916918/chapters/10.4324%2F9781315851846-9,2013,2758,5,9.85E+17,None,"http://scholar.google.com/scholar?cites=985144701509402229&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=985144701509402229&hl=en&as_sdt=0,5",None,"… Understanding the concep- tualization, experience and commemoration of the maimed and deadof recent wars lies at the heart of what has come to be called Modern Conflict Archaeology(Saunders 2012) – an approach which investigates the varied social lives and cul- tural … 
"
"Landscapes of logistics: the archaeology and geography of WWII German military supply depots in Central Normandy, north-west France","DG Passmore, DC Tunwell… ",http://scholar.google.com/https://www.tandfonline.com/doi/abs/10.1179/1574077313Z.00000000025,2013,10,4,1.73E+18,None,"http://scholar.google.com/scholar?cites=1728341594677063785&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=1728341594677063785&hl=en&as_sdt=0,5",None,"Earthworks associated with WWII German military supply depots are shown to be well preserved on the modern forest floors of the Forêt domaniale des Andaines in central Normandy, North-west France, and are located within the record of the Seventh Army …
"
"Making sense of subterranean conflict: engaging landscapes beneath the Western Front, 1914-2015",M Leonard ,http://ethos.bl.uk/OrderDetails.do?uin=uk.bl.ethos.689664,2015,3,0,6.02E+18,None,"http://scholar.google.com/scholar?cites=6015949751382532909&as_sdt=2005&sciodt=0,5&hl=en",None,None,"… Access through EThOS: Order from print. A scan fee will apply. Please login to continue. Abstract:Through the adoption of a modern conflict archaeology framework this work represents the firstinterdisciplinary study of the subterranean landscapes of the Western Front … 
"
Material evidence of warfare in Early and Middle Bronze Age Hungary,"V Kiss, V Szeverényi ",http://scholar.google.com/https://www.taylorfrancis.com/books/e/9781351384667/chapters/10.4324%2F9781315144771-4,2017,0,0,None,None,None,None,None,"The primary weapon of the Early Bronze Age seems to have been the axe. Single-edged shaft-hole axes make their appearance around the transitional phase between the Late Copper and Early Bronze Age, ca. 2800–2600 bc (Kulcsár and Szeverényi, 2013). They …
"
"Metal detecting: Friend or foe of conflict archaeology? Investigation, preservation and destruction on WWII sites in the Netherlands","J Schriek, M Schriek ",http://scholar.google.com/https://www.tandfonline.com/doi/abs/10.1179/2051819614Z.00000000020,2014,13,2,1.32E+19,None,"http://scholar.google.com/scholar?cites=13160517638285764820&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=13160517638285764820&hl=en&as_sdt=0,5",None,"Abstract In the Netherlands the Archaeology of twentieth-century conflict related sites and battlefields has still not gained the full attention of the academic world. Archaeological research into World War II features is usually only carried out as a result of the personal …
"
Nick Saunders: launching the new discipline of modern conflict archaeology,N Saunders ,http://scholar.google.com/https://dialnet.unirioja.es/servlet/articulo?codigo=3171475,2009,3,0,1.72E+19,None,"http://scholar.google.com/scholar?cites=17160354693740309639&as_sdt=2005&sciodt=0,5&hl=en",None,None,"… Ayuda; Cambiar idioma Idioma català. Cambiar. Nick Saunders: launching the newdiscipline of modern conflict archaeology. Autores: Nick Saunders; Localización:Current archaeology, ISSN 0011-3212, Nº. 235, 2009, págs. 35-40; Idioma: inglés …
"
Not so quiet on the Western Front: progress and prospect in the archaeology of the First World War,"T Pollard, I Banks ",http://scholar.google.com/https://www.tandfonline.com/doi/pdf/10.1163/157407807X257331,2007,7,0,1.79E+19,None,"http://scholar.google.com/scholar?cites=17915634366920721528&as_sdt=2005&sciodt=0,5&hl=en",None,None,"There has of late been a marked upsurge of interest in the study of the recent past, not least within the field of conflict archaeology, as exemplified by a number of academic books and papers covering issues as diverse as Cold War missile installations (Cocroft & Wilson 2006) …
"
Reflexivity and record: re-mapping conflict archaeology,"A Klausmeier, L Purbrick, J Schofield",None,2006,7,0,1.59E+19,None,"http://scholar.google.com/scholar?cites=15880220549401660039&as_sdt=2005&sciodt=0,5&hl=en",None,None,"None'
"
Re-mapping the field: new approaches in conflict archaeology,"J Schofield, A Klausmeier, L Purbrick ",http://eprints.brighton.ac.uk/4476/1/Re-mapping_the_Field.pdf,2006,32,5,6.89E+18,http://eprints.brighton.ac.uk/4476/1/Re-mapping_the_Field.pdf,"http://scholar.google.com/scholar?cites=6889840795508019422&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=6889840795508019422&hl=en&as_sdt=0,5",None,"In June 2005 English HeritageLs Military and Naval Strategy Group held one of its tri annual meetings in Berlin, at the Berlin Wall Documentation Centre. In ad dition to the usual business meeting, we hosted a small workshop to discuss methodologies, and specifically …
"
Ritual sacrifices of military equipment in the Thorsberger Moor,R Blankenfeldt… ,http://scholar.google.com/https://content.taylorfrancis.com/books/e/download?dac=C2017-0-55451-4&isbn=9781315144771&doi=10.4324/9781315144771-19&format=pdf,2017,0,0,None,None,None,None,None,"Conrad Engelhardt (Figure 19.1), to undertake excavations in the relatively dried-out bog between 1858 and 1861. The excavated area of about 750 m² yielded a large number of artefacts with a strong military component (Engelhardt, 1863; see also Raddatz, 1957 …
"
