title,author,url,year,num_citations,num_versions,cluster_id,url_citations,url_versions,excerpt
         TitleThe Rise of the Highland Elamite State in Southwestern Iran: “Enclosed” or Enclosing Nomadism?,"        Author A Alizadeh, JR Alden, MD Danti… ",           URL http://scholar.google.com/https://www.journals.uchicago.edu/doi/abs/10.1086/652437,          Year 2010,     Citations 41,      Versions 9,    Cluster ID 1700054645711960271,"Citations list http://scholar.google.com/scholar?cites=1700054645711960271&as_sdt=2005&sciodt=0,5&hl=en"," Versions list http://scholar.google.com/scholar?cluster=1700054645711960271&hl=en&as_sdt=0,5",       Excerpt Archaeological and historical reconstructions and interpretations of the origins and development of early state organizations and nomadic-sedentary relations have been viewed primarily from the perspective of sedentary farmers and urban centers. Implicit in …
         Title Ground-based observations of cultural heritage incidents in Syria and Iraq,        Author MD Danti ,,          Year 2015,     Citations 28,      Versions 2,    Cluster ID 16360998192411939216,"Citations list http://scholar.google.com/scholar?cites=16360998192411939216&as_sdt=2005&sciodt=0,5&hl=en"," Versions list http://scholar.google.com/scholar?cluster=16360998192411939216&hl=en&as_sdt=0,5","       Excerpt ASOR Cultural Heritage Initiatives (ASOR CHI) uses a wide range of ground-based observations to report on the cultural heritage situation in Syria and northern Iraq. Coupled with analyses of high-resolution satellite imagery, these sources of information provide a …"
"         Title Early Bronze Age settlement and land use in the Tell es-Sweyhat region, Syria",        Author MD Danti,,          Year 2000,     Citations 18,      Versions 2,    Cluster ID 8407864839206473060,"Citations list http://scholar.google.com/scholar?cites=8407864839206473060&as_sdt=2005&sciodt=0,5&hl=en"," Versions list http://scholar.google.com/scholar?cluster=8407864839206473060&hl=en&as_sdt=0,5","       Excerpt Many early cities in the ancient Near East lay in and regions where canal irrigation was unfeasible and rainfed agriculture was prone to low yields and crop failure. One city, preserved as the ruin mound of Tell es-Sweyhat in northern Syria, lay in one of northwestern …"
         Title The Early Bronze Age in the Syrian north-west Jezireh: The Tell es-Sweyhat region,"        Author MD Danti, RL Zettler ",,          Year 2007,     Citations 16,      Versions 0,    Cluster ID 5790379594617316136,"Citations list http://scholar.google.com/scholar?cites=5790379594617316136&as_sdt=2005&sciodt=0,5&hl=en",,"       Excerpt The University of Pennsylvania Museum's ongoing excavations at Tell es—Sweyhat and nearby Tell Hajji Ibrahim, on the east bank of the Euphrates c. 65 km down river from the Syrian-Turkish border, have revealed an archaeological sequence spanning the late 4th …"
         Title Hasanlu V: The Late Bronze and Iron I Periods,        Author MD Danti,,          Year 2013,     Citations 11,      Versions 3,    Cluster ID 8520874984645406483,"Citations list http://scholar.google.com/scholar?cites=8520874984645406483&as_sdt=2005&sciodt=0,5&hl=en"," Versions list http://scholar.google.com/scholar?cluster=8520874984645406483&hl=en&as_sdt=0,5","       Excerpt Hasanlu V provides archaeologists with a new, more accurate chronology of Hasanlu, the largest and arguably the most important archaeological site in the Gadar River Valley of northwestern Iran. This revised chronology introduces Hasanlu Periods VIa, V, and IVc for …"
"         Title Iron II Warrior Burials at Hasanlu Tepe, Iran","        Author MD Danti, M Cifarelli ",,          Year 2015,     Citations 10,      Versions 5,    Cluster ID 1624942166237435376,"Citations list http://scholar.google.com/scholar?cites=1624942166237435376&as_sdt=2005&sciodt=0,5&hl=en"," Versions list http://scholar.google.com/scholar?cluster=1624942166237435376&hl=en&as_sdt=0,5",       Excerpt Archaeological and historical reconstructions and interpretations of the origins and development of early state organizations and nomadic-sedentary relations have been viewed primarily from the perspective of sedentary farmers and urban centers. Implicit in …
         Title The evolution of the Tell es-Sweyhat (Syria) settlement system in the third millennium BC,"        Author MD Danti, RL Zettler ",,          Year 1998,     Citations 11,      Versions 2,    Cluster ID 5648788604345193722,"Citations list http://scholar.google.com/scholar?cites=5648788604345193722&as_sdt=2005&sciodt=0,5&hl=en"," Versions list http://scholar.google.com/scholar?cluster=5648788604345193722&hl=en&as_sdt=0,5",       Excerpt Archaeological and historical reconstructions and interpretations of the origins and development of early state organizations and nomadic-sedentary relations have been viewed primarily from the perspective of sedentary farmers and urban centers. Implicit in …
         Title The late Bronze and early Iron age in northwestern Iran,        Author MD Danti ,,          Year 2013,     Citations 9,      Versions 0,    Cluster ID 4853877094596481578,"Citations list http://scholar.google.com/scholar?cites=4853877094596481578&as_sdt=2005&sciodt=0,5&hl=en",,       Excerpt Archaeological and historical reconstructions and interpretations of the origins and development of early state organizations and nomadic-sedentary relations have been viewed primarily from the perspective of sedentary farmers and urban centers. Implicit in …
         Title The Ilkhanid Heartland: Hasanlu Tepe (Iran) Period I,"        Author MD Danti, MD Danti",,          Year 2004,     Citations 8,      Versions 0,    Cluster ID 13476055649990393976,"Citations list http://scholar.google.com/scholar?cites=13476055649990393976&as_sdt=2005&sciodt=0,5&hl=en",,       Excerpt Archaeological and historical reconstructions and interpretations of the origins and development of early state organizations and nomadic-sedentary relations have been viewed primarily from the perspective of sedentary farmers and urban centers. Implicit in …
         Title ASOR Cultural Heritage Initiatives (CHI): Planning for Safeguarding Heritage Sites in Syria and Iraq1,"        Author MD Danti, C Ali, T Paulette, K Franklin… ",           URL http://www.asor-syrianheritage.org/wp-content/uploads/2016/03/ASOR_CHI_Weekly_Report_77%E2%80%9378r.pdf,          Year 2015,     Citations 3,      Versions 6,    Cluster ID 10720124138906786580,"Citations list http://scholar.google.com/scholar?cites=10720124138906786580&as_sdt=2005&sciodt=0,5&hl=en"," Versions list http://scholar.google.com/scholar?cluster=10720124138906786580&hl=en&as_sdt=0,5",       Excerpt Archaeological and historical reconstructions and interpretations of the origins and development of early state organizations and nomadic-sedentary relations have been viewed primarily from the perspective of sedentary farmers and urban centers. Implicit in …
         Title Variability in large‐scale wind power generation,"        Author …, N Menemenlis, NA Cutululis, I Danti Lopez… ",           URL http://scholar.google.com/https://onlinelibrary.wiley.com/doi/abs/10.1002/we.1942,          Year 2016,     Citations 18,      Versions 10,    Cluster ID 10684144996961449201,"Citations list http://scholar.google.com/scholar?cites=10684144996961449201&as_sdt=2005&sciodt=0,5&hl=en"," Versions list http://scholar.google.com/scholar?cluster=10684144996961449201&hl=en&as_sdt=0,5",       Excerpt Archaeological and historical reconstructions and interpretations of the origins and development of early state organizations and nomadic-sedentary relations have been viewed primarily from the perspective of sedentary farmers and urban centers. Implicit in …
         Title The Hasanlu (Iran) Gold Bowl in context: all that glitters…,        Author MD Danti ,           URL http://scholar.google.com/https://www.cambridge.org/core/journals/antiquity/article/hasanlu-iran-gold-bowl-in-context-all-that-glitters/880C258BC28DA68EF7AF44D025A7364D,          Year 2014,     Citations 2,      Versions 8,    Cluster ID 825684249881287062,"Citations list http://scholar.google.com/scholar?cites=825684249881287062&as_sdt=2005&sciodt=0,5&hl=en"," Versions list http://scholar.google.com/scholar?cluster=825684249881287062&hl=en&as_sdt=0,5",       Excerpt Archaeological and historical reconstructions and interpretations of the origins and development of early state organizations and nomadic-sedentary relations have been viewed primarily from the perspective of sedentary farmers and urban centers. Implicit in …
         Title Assyrianizing contexts at Hasanlu IVb? Materiality and identity in Iron II northwest Iran,"        Author MD Danti, M Cifarelli, J MacGinnis… ",           URL http://www.academia.edu/download/32061161/Danti_and_Cifarelli_In_Press.pdf,          Year 2016,     Citations 2,      Versions 0,    Cluster ID 9450622405420280582,"Citations list http://scholar.google.com/scholar?cites=9450622405420280582&as_sdt=2005&sciodt=0,5&hl=en",,       Excerpt Archaeological and historical reconstructions and interpretations of the origins and development of early state organizations and nomadic-sedentary relations have been viewed primarily from the perspective of sedentary farmers and urban centers. Implicit in …
